 eps (GeV/fm^3)   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
   1.2815221028   0.2021243729    7.9339383726   0.0000000000
   1.3277337996   0.2101812758    8.1803993369   0.0000000000
   1.3747893594   0.2184862280    8.4300295627   0.0000000000
   1.4226870973   0.2270423771    8.6827867076   0.0000000000
   1.4714262977   0.2358528314    8.9386341839   0.0000000000
   1.5210071291   0.2449206651    9.1975405946   0.0000000000
   1.5714305676   0.2542489233    9.4594792273   0.0000000000
   1.6226983274   0.2638406267    9.7244275984   0.0000000000
   1.6748127979   0.2736987755    9.9923670429   0.0000000000
   1.7277769868   0.2838263527   10.2632823444   0.0000000000
   1.7815944683   0.2942263281   10.5371614029   0.0000000000
   1.8362693367   0.3049016603   10.8139949343   0.0000000000
   1.8918061633   0.3158553005   11.0937761998   0.0000000000
   1.9482099585   0.3270901938   11.3765007617   0.0000000000
   2.0054861366   0.3386092823   11.6621662633   0.0000000000
   2.0636404839   0.3504155065   11.9507722294   0.0000000000
   2.1226791298   0.3625118073   12.2423198871   0.0000000000
   2.1826085209   0.3749011277   12.5368120029   0.0000000000
   2.2434353967   0.3875864142   12.8342527359   0.0000000000
   2.3051667682   0.4005706179   13.1346475051   0.0000000000
   2.3678098979   0.4138566960   13.4380028694   0.0000000000
   2.4313722820   0.4274476130   13.7443264182   0.0000000000
   2.4958616337   0.4413463411   14.0536266737   0.0000000000
   2.5612858686   0.4555558617   14.3659130011   0.0000000000
   2.6276530907   0.4700791658   14.6811955284   0.0000000000
   2.6949715803   0.4849192551   14.9994850727   0.0000000000
   2.7632497827   0.5000791421   15.3207930740   0.0000000000
   2.8324962972   0.5155618514   15.6451315353   0.0000000000
   2.9027198685   0.5313704195   15.9725129677   0.0000000000
   2.9739293777   0.5475078959   16.3029503409   0.0000000000
   3.0461338341   0.5639773433   16.6364570388   0.0000000000
   3.1193423686   0.5807818377   16.9730468182   0.0000000000
   3.1935642267   0.5979244693   17.3127337718   0.0000000000
   3.2688087625   0.6154083424   17.6555322952   0.0000000000
   3.3450854333   0.6332365760   18.0014570558   0.0000000000
   3.4224037947   0.6514123036   18.3505229655   0.0000000000
   3.5007734956   0.6699386740   18.7027451553   0.0000000000
   3.5802042743   0.6888188511   19.0581389528   0.0000000000
   3.6607059545   0.7080560143   19.4167198611   0.0000000000
   3.7422884417   0.7276533584   19.7785035402   0.0000000000
   3.8249617201   0.7476140942   20.1435057897   0.0000000000
   3.9087358495   0.7679414482   20.5117425337   0.0000000000
   3.9936209628   0.7886386628   20.8832298059   0.0000000000
   4.0796272630   0.8097089967   21.2579837378   0.0000000000
   4.1667650216   0.8311557246   21.6360205462   0.0000000000
   4.2550445759   0.8529821375   22.0173565230   0.0000000000
   4.3444763272   0.8751915428   22.4020080257   0.0000000000
   4.4350707395   0.8977872642   22.7899914685   0.0000000000
   4.5268383371   0.9207726418   23.1813233147   0.0000000000
   4.6197897039   0.9441510324   23.5760200691   0.0000000000
   4.7139354813   0.9679258091   23.9740982720   0.0000000000
   4.8092863676   0.9921003617   24.3755744928   0.0000000000
   4.9058531165   1.0166780963   24.7804653254   0.0000000000
   5.0036465358   1.0416624361   25.1887873827   0.0000000000
   5.1026774871   1.0670568204   25.6005572925   0.0000000000
   5.2029568844   1.0928647055   26.0157916938   0.0000000000
   5.3044956934   1.1190895641   26.4345072329   0.0000000000
   5.4073049309   1.1457348859   26.8567205604   0.0000000000
   5.5113956637   1.1728041767   27.2824483282   0.0000000000
   5.6167790085   1.2003009595   27.7117071871   0.0000000000
   5.7234661311   1.2282287737   28.1445137844   0.0000000000
   5.8314682456   1.2565911752   28.5808847616   0.0000000000
   5.9407966146   1.2853917369   29.0208367529   0.0000000000
   6.0514625478   1.3146340480   29.4643863831   0.0000000000
   6.1634774025   1.3443217144   29.9115502666   0.0000000000
   6.2768525827   1.3744583588   30.3623450057   0.0000000000
   6.3915995387   1.4050476202   30.8167871897   0.0000000000
   6.5077297674   1.4360931545   31.2748933935   0.0000000000
   6.6252548113   1.4675986339   31.7366801772   0.0000000000
   6.7441862585   1.4995677472   32.2021640849   0.0000000000
   6.8645357426   1.5320041999   32.6713616443   0.0000000000
   6.9863149425   1.5649117139   33.1442893657   0.0000000000
   7.1095355816   1.5982940276   33.6209637421   0.0000000000
   7.2342094287   1.6321548958   34.1014012481   0.0000000000
   7.3603482968   1.6664980899   34.5856183401   0.0000000000
   7.4879640436   1.7013273978   35.0736314556   0.0000000000
   7.6170685709   1.7366466236   35.5654570134   0.0000000000
   7.7476738249   1.7724595881   36.0611114128   0.0000000000
   7.8797917958   1.8087701282   36.5606110342   0.0000000000
   8.0134345180   1.8455820974   37.0639722382   0.0000000000
   8.1486140695   1.8828993653   37.5712113663   0.0000000000
   8.2853425723   1.9207258182   38.0823447405   0.0000000000
   8.4236321921   1.9590653583   38.5973886632   0.0000000000
   8.5634951383   1.9979219044   39.1163594176   0.0000000000
   8.7049436639   2.0372993915   39.6392732674   0.0000000000
   8.8479900656   2.0772017708   40.1661464571   0.0000000000
   8.9926466833   2.1176330096   40.6969952122   0.0000000000
   9.1389259007   2.1585970918   41.2318357391   0.0000000000
   9.2868401448   2.2000980171   41.7706842252   0.0000000000
   9.4364018861   2.2421398016   42.3135568394   0.0000000000
   9.5876236382   2.2847264775   42.8604697320   0.0000000000
   9.7405179585   2.3278620932   43.4114390350   0.0000000000
   9.8950974474   2.3715507131   43.9664808621   0.0000000000
  10.0513747488   2.4157964178   44.5256113093   0.0000000000
  10.2093625498   2.4606033040   45.0888464545   0.0000000000
  10.3690735808   2.5059754843   45.6562023585   0.0000000000
  10.5305206156   2.5519170876   46.2276950643   0.0000000000
  10.6937164712   2.5984322587   46.8033405983   0.0000000000
  10.8586740079   2.6455251584   47.3831549697   0.0000000000
  11.0254061294   2.6931999636   47.9671541711   0.0000000000
  11.1939257823   2.7414608670   48.5553541790   0.0000000000
  11.3642459570   2.7903120775   49.1477709534   0.0000000000
  11.5363796869   2.8397578198   49.7444204384   0.0000000000
  11.7103400486   2.8898023346   50.3453185627   0.0000000000
  11.8861401622   2.9404498785   50.9504812393   0.0000000000
  12.0637931910   2.9917047239   51.5599243660   0.0000000000
  12.2433123416   3.0435711593   52.1736638258   0.0000000000
  12.4247108641   3.0960534890   52.7917154866   0.0000000000
  12.6080020517   3.1491560330   53.4140952022   0.0000000000
  12.7931992410   3.2028831273   54.0408188119   0.0000000000
  12.9803158120   3.2572391238   54.6719021409   0.0000000000
  13.1693651881   3.3122283901   55.3073610008   0.0000000000
  13.3603608360   3.3678553096   55.9472111895   0.0000000000
  13.5533162659   3.4241242815   56.5914684913   0.0000000000
  13.7482450311   3.4810397209   57.2401486779   0.0000000000
  13.9451607288   3.5386060585   57.8932675074   0.0000000000
  14.1440769992   3.5968277407   58.5508407259   0.0000000000
  14.3450075262   3.6557092299   59.2128840663   0.0000000000
  14.5479660371   3.7152550041   59.8794132499   0.0000000000
  14.7529663026   3.7754695570   60.5504439854   0.0000000000
  14.9600221369   3.8363573978   61.2259919699   0.0000000000
  15.1691473979   3.8979230519   61.9060728887   0.0000000000
  15.3803559867   3.9601710598   62.5907024159   0.0000000000
  15.5936618482   4.0231059781   63.2798962140   0.0000000000
  15.8090789708   4.0867323789   63.9736699347   0.0000000000
  16.0266213863   4.1510548499   64.6720392186   0.0000000000
  16.2463031704   4.2160779944   65.3750196957   0.0000000000
  16.4681384420   4.2818064315   66.0826269857   0.0000000000
  16.6921413639   4.3482447958   66.7948766976   0.0000000000
  16.9183261425   4.4153977376   67.5117844305   0.0000000000
  17.1467070277   4.4832699226   68.2333657736   0.0000000000
  17.3772983131   4.5518660322   68.9596363061   0.0000000000
  17.6101143362   4.6211907634   69.6906115976   0.0000000000
  17.8451694779   4.6912488288   70.4263072085   0.0000000000
  18.0824781629   4.7620449565   71.1667386896   0.0000000000
  18.3220548596   4.8335838900   71.9119215827   0.0000000000
  18.5639140803   4.9058703886   72.6618714207   0.0000000000
  18.8080703807   4.9789092270   73.4166037276   0.0000000000
  19.0545383607   5.0527051954   74.1761340187   0.0000000000
  19.3033326635   5.1272630995   74.9404778009   0.0000000000
  19.5544679766   5.2025877607   75.7096505726   0.0000000000
  19.8079590308   5.2786840155   76.4836678242   0.0000000000
  20.0638206011   5.3555567163   77.2625450378   0.0000000000
  20.3220675062   5.4332107307   78.0462976877   0.0000000000
  20.5827146085   5.5116509420   78.8349412403   0.0000000000
  20.8457768146   5.5908822487   79.6284911544   0.0000000000
  21.1112690746   5.6709095649   80.4269628813   0.0000000000
  21.3792063827   5.7517378202   81.2303718648   0.0000000000
  21.6496037769   5.8333719595   82.0387335416   0.0000000000
  21.9224763393   5.9158169433   82.8520633411   0.0000000000
  22.1978391957   5.9990777474   83.6703766856   0.0000000000
  22.4757075159   6.0831593630   84.4936889907   0.0000000000
  22.7560965137   6.1680667968   85.3220156652   0.0000000000
  23.0390214468   6.2538050709   86.1553721110   0.0000000000
  23.3244976170   6.3403792228   86.9937737236   0.0000000000
  23.6125403699   6.4277943052   87.8372358921   0.0000000000
  23.9031650952   6.5160553865   88.6857739991   0.0000000000
  24.1963872266   6.6051675503   89.5394034212   0.0000000000
  24.4922222418   6.6951358956   90.3981395287   0.0000000000
  24.7906856626   6.7859655367   91.2619976859   0.0000000000
  25.0917930547   6.8776616035   92.1309932512   0.0000000000
  25.3955600281   6.9702292408   93.0051415773   0.0000000000
  25.7020022365   7.0636736093   93.8844580109   0.0000000000
  26.0111353780   7.1579998847   94.7689578933   0.0000000000
  26.3229751946   7.2532132580   95.6586565602   0.0000000000
  26.6375374725   7.3493189358   96.5535693418   0.0000000000
  26.9548380420   7.4463221399   97.4537115632   0.0000000000
  27.2748927773   7.5442281072   98.3590985439   0.0000000000
  27.5977175971   7.6430420903   99.2697455983   0.0000000000
  27.9233284640   7.7427693569  100.1856680360   0.0000000000
  28.2517413846   7.8434151899  101.1068811613   0.0000000000
  28.5829724101   7.9449848878  102.0334002736   0.0000000000
  28.9170376354   8.0474837642  102.9652406676   0.0000000000
  29.2539531999   8.1509171480  103.9024176331   0.0000000000
  29.5937352869   8.2552903835  104.8449464553   0.0000000000
  29.9364001242   8.3606088300  105.7928424149   0.0000000000
  30.2819639835   8.4668778624  106.7461207877   0.0000000000
  30.6304431809   8.5741028708  107.7047968454   0.0000000000
  30.9818540767   8.6822892604  108.6688858553   0.0000000000
  31.3362130754   8.7914424519  109.6384030801   0.0000000000
  31.6935366256   8.9015678811  110.6133637786   0.0000000000
  32.0538412204   9.0126709990  111.5937832051   0.0000000000
  32.4171433969   9.1247572722  112.5796766100   0.0000000000
  32.7834597367   9.2378321820  113.5710592397   0.0000000000
  33.1528068653   9.3519012255  114.5679463364   0.0000000000
  33.5252014530   9.4669699146  115.5703531386   0.0000000000
  33.9006602138   9.5830437767  116.5782948808   0.0000000000
  34.2791999065   9.7001283544  117.5917867938   0.0000000000
  34.6608373338   9.8182292054  118.6108441045   0.0000000000
  35.0455893429   9.9373519028  119.6354820365   0.0000000000
  35.4334728253  10.0575020348  120.6657158093   0.0000000000
  35.8245047169  10.1786852048  121.7015606393   0.0000000000
  36.2187019976  10.3009070315  122.7430317390   0.0000000000
  36.6160816920  10.4241731488  123.7901443177   0.0000000000
  37.0166608688  10.5484892057  124.8429135813   0.0000000000
  37.4204566411  10.6738608666  125.9013547322   0.0000000000
  37.8274861665  10.8002938108  126.9654829696   0.0000000000
  38.2377666467  10.9277937333  128.0353134896   0.0000000000
  38.6513153280  11.0563663437  129.1108614848   0.0000000000
  39.0681495009  11.1860173671  130.1921421450   0.0000000000
  39.4882865003  11.3167525439  131.2791706567   0.0000000000
  39.9117437055  11.4485776294  132.3719622035   0.0000000000
  40.3385385403  11.5814983944  133.4705319657   0.0000000000
  40.7686884727  11.7155206245  134.5748951210   0.0000000000
  41.2022110152  11.8506501208  135.6850668440   0.0000000000
  41.6391237247  11.9868926994  136.8010623066   0.0000000000
  42.0794442026  12.1242541917  137.9228966776   0.0000000000
  42.5231900945  12.2627404441  139.0505851234   0.0000000000
  42.9703790905  12.4023573184  140.1841428074   0.0000000000
  43.4210289253  12.5431106912  141.3235848903   0.0000000000
  43.8751573778  12.6850064547  142.4689265302   0.0000000000
  44.3327822715  12.8280505159  143.6201828828   0.0000000000
  44.7939214742  12.9722487971  144.7773691009   0.0000000000
  45.2585928982  13.1176072357  145.9405003349   0.0000000000
  45.7268145004  13.2641317845  147.1095917328   0.0000000000
  46.1986042819  13.4118284110  148.2846584399   0.0000000000
  46.6739802884  13.5607030982  149.4657155994   0.0000000000
  47.1529606101  13.7107618440  150.6527783518   0.0000000000
  47.6355633816  13.8620106618  151.8458618354   0.0000000000
  48.1218067820  14.0144555797  153.0449811862   0.0000000000
  48.6117090348  14.1681026411  154.2501515379   0.0000000000
  49.1052884082  14.3229579048  155.4613880220   0.0000000000
  49.6025632147  14.4790274443  156.6787057675   0.0000000000
  50.1035518112  14.6363173484  157.9021199017   0.0000000000
  50.6082725995  14.7948337212  159.1316455493   0.0000000000
  51.1167440255  14.9545826818  160.3672978330   0.0000000000
  51.6289845797  15.1155703642  161.6090918737   0.0000000000
  52.1450127972  15.2778029178  162.8570427898   0.0000000000
  52.6648472576  15.4412865071  164.1111656979   0.0000000000
  53.1885065849  15.6060273116  165.3714757127   0.0000000000
  53.7160094478  15.7720315259  166.6379879466   0.0000000000
  54.2473745595  15.9393053599  167.9107175104   0.0000000000
  54.7826206775  16.1078550384  169.1896795129   0.0000000000
  55.3217666041  16.2776868014  170.4748890607   0.0000000000
  55.8648311860  16.4488069041  171.7663612590   0.0000000000
  56.4118333144  16.6212216165  173.0641112108   0.0000000000
  56.9627919253  16.7949372241  174.3681540176   0.0000000000
  57.5177259990  16.9699600272  175.6785047788   0.0000000000
  58.0766545603  17.1462963414  176.9951785922   0.0000000000
  58.6395966788  17.3239524971  178.3181905539   0.0000000000
  59.2065714686  17.5029348402  179.6475557582   0.0000000000
  59.7775980881  17.6832497314  180.9832892979   0.0000000000
  60.3526957405  17.8649035466  182.3254062638   0.0000000000
  60.9318836737  18.0479026768  183.6739217453   0.0000000000
  61.5151811798  18.2322535280  185.0288508301   0.0000000000
  62.1026075958  18.4179625213  186.3902086045   0.0000000000
  62.6941823031  18.6050360931  187.7580101529   0.0000000000
  63.2899247278  18.7934806946  189.1322705584   0.0000000000
  63.8898543404  18.9833027922  190.5130049025   0.0000000000
  64.4939906562  19.1745088674  191.9002282651   0.0000000000
  65.1023532349  19.3671054168  193.2939557246   0.0000000000
  65.7149616810  19.5610989519  194.6942023582   0.0000000000
  66.3318356434  19.7564959996  196.1009832414   0.0000000000
  66.9529948158  19.9533031015  197.5143134484   0.0000000000
  67.5784589362  20.1515268146  198.9342080518   0.0000000000
  68.2082477876  20.3511737108  200.3606821230   0.0000000000
  68.8423811972  20.5522503770  201.7937507319   0.0000000000
  69.4808790371  20.7547634154  203.2334289473   0.0000000000
  70.1237612240  20.9587194431  204.6797318363   0.0000000000
  70.7710477190  21.1641250924  206.1326744649   0.0000000000
  71.4227585280  21.3709870103  207.5922718979   0.0000000000
  72.0789137015  21.5793118594  209.0585391985   0.0000000000
  72.7395333346  21.7891063170  210.5314914290   0.0000000000
  73.4046375669  22.0003770756  212.0111436501   0.0000000000
  74.0742465829  22.2131308427  213.4975109215   0.0000000000
  74.7483806115  22.4273743408  214.9906083017   0.0000000000
  75.4270599264  22.6431143077  216.4904508479   0.0000000000
  76.1103048457  22.8603574959  217.9970536160   0.0000000000
  76.7981357325  23.0791106733  219.5104316611   0.0000000000
  77.4905729941  23.2993806227  221.0306000368   0.0000000000
  78.1876370828  23.5211741419  222.5575737957   0.0000000000
  78.8893484953  23.7444980438  224.0913679893   0.0000000000
  79.5957277732  23.9693591564  225.6319976679   0.0000000000
  80.3067955026  24.1957643226  227.1794778808   0.0000000000
  81.0225723141  24.4237204006  228.7338236762   0.0000000000
  81.7430788833  24.6532342635  230.2950501012   0.0000000000
  82.4683359301  24.8843127994  231.8631722019   0.0000000000
  83.1983642193  25.1169629115  233.4382050234   0.0000000000
  83.9331845604  25.3511915180  235.0201636095   0.0000000000
  84.6728178073  25.5870055523  236.6090630034   0.0000000000
  85.4172848587  25.8244119627  238.2049182470   0.0000000000
  86.1666066580  26.0634177124  239.8077443813   0.0000000000
  86.9208041933  26.3040297801  241.4175564464   0.0000000000
  87.6798984973  26.5462551590  243.0343694814   0.0000000000
  88.4439106473  26.7901008577  244.6581985244   0.0000000000
  89.2128617654  27.0355738997  246.2890586127   0.0000000000
  89.9867730184  27.2826813236  247.9269647823   0.0000000000
  90.7656656176  27.5314301830  249.5719320689   0.0000000000
  91.5495608192  27.7818275465  251.2239755067   0.0000000000
  92.3384799239  28.0338804977  252.8831101294   0.0000000000
  93.1324442771  28.2875961355  254.5493509697   0.0000000000
  93.9314752690  28.5429815734  256.2227130594   0.0000000000
  94.7355943343  28.8000439404  257.9032114294   0.0000000000
  95.5448229527  29.0587903801  259.5908611099   0.0000000000
  96.3591826483  29.3192280514  261.2856771302   0.0000000000
  97.1786949900  29.5813641281  262.9876745188   0.0000000000
  98.0033815913  29.8452057992  264.6968683032   0.0000000000
  98.8332641105  30.1107602685  266.4132735104   0.0000000000
  99.6683642507  30.3780347550  268.1369051664   0.0000000000
 100.5087037594  30.6470364927  269.8677782964   0.0000000000
 101.3543044290  30.9177727305  271.6059079250   0.0000000000
 102.2051880966  31.1902507324  273.3513090758   0.0000000000
 103.0613766440  31.4644777775  275.1039967718   0.0000000000
 103.9228919976  31.7404611598  276.8639860354   0.0000000000
 104.7897561285  32.0182081884  278.6312918878   0.0000000000
 105.6619910528  32.2977261874  280.4059293499   0.0000000000
 106.5396188308  32.5790224960  282.1879134418   0.0000000000
 107.4226615681  32.8621044682  283.9772591827   0.0000000000
 108.3111414145  33.1469794732  285.7739815913   0.0000000000
 109.2050805647  33.4336548953  287.5780956854   0.0000000000
 110.1045012583  33.7221381335  289.3896164824   0.0000000000
 111.0094257793  34.0124366021  291.2085589988   0.0000000000
 111.9198764566  34.3045577304  293.0349382505   0.0000000000
 112.8358756638  34.5985089625  294.8687692527   0.0000000000
 113.7574458192  34.8942977578  296.7100670199   0.0000000000
 114.6846093857  35.1919315905  298.5588465662   0.0000000000
 115.6173888713  35.4914179499  300.4151229049   0.0000000000
 116.5558068282  35.7927643403  302.2789110485   0.0000000000
 117.4998858537  36.0959782809  304.1502260091   0.0000000000
 118.4496485896  36.4010673062  306.0290827982   0.0000000000
 119.4051177228  36.7080389655  307.9154964265   0.0000000000
 120.3663159844  37.0169008230  309.8094819043   0.0000000000
 121.3332661505  37.3276604582  311.7110542412   0.0000000000
 122.3059910421  37.6403254655  313.6202284462   0.0000000000
 123.2845135247  37.9549034541  315.5370195279   0.0000000000
 124.2688565084  38.2714020485  317.4614424939   0.0000000000
 125.2590429484  38.5898288880  319.3935123518   0.0000000000
 126.2550958445  38.9101916271  321.3332441082   0.0000000000
 127.2570382410  39.2324979352  323.2806527693   0.0000000000
 128.2648932272  39.5567554967  325.2357533409   0.0000000000
 129.2786839371  39.8829720109  327.1985608279   0.0000000000
 130.2984335494  40.2111551923  329.1690902349   0.0000000000
 131.3241652875  40.5413127703  331.1473565662   0.0000000000
 132.3559024196  40.8734524894  333.1333748250   0.0000000000
 133.3936682586  41.2075821089  335.1271600145   0.0000000000
 134.4374861622  41.5437094034  337.1287271372   0.0000000000
 135.4873795328  41.8818421622  339.1380911950   0.0000000000
 136.5433718175  42.2219881898  341.1552671895   0.0000000000
 137.6054865083  42.5641553056  343.1802701216   0.0000000000
 138.6737471418  42.9083513440  345.2131149919   0.0000000000
 139.7481772993  43.2545841545  347.2538168004   0.0000000000
 140.8288006071  43.6028616016  349.3023905467   0.0000000000
